split,category,filename,cap,label,fill_level,num_detections,flags
train,abn_no_label,abn_no_label__Image__2026-04-20__16-55-32.bmp,1,0,1,2,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-22.bmp,1,1,1,3,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-34.bmp,1,1,1,3,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-17.bmp,1,1,1,3,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-29.bmp,1,1,1,3,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-58-03.bmp,1,1,1,3,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-11.bmp,1,1,1,3,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-55.bmp,1,1,1,3,
train,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-06.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-06-42.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-09-46.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-09-51.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-08-38.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-08-55.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-10-02.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-09-57.bmp,1,1,1,3,
train,abn_underfill,abn_underfill__Image__2026-04-20__17-08-44.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-26-00.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-35-07.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-33-19.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-35-14.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-27-14.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-25-49.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-34-55.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-23-48.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-23-53.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-23-42.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-26-20.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-28-11.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__15-25-25.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-35-49.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-29-08.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-23-09.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-34-59.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-21-54.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-28-00.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-22-56.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-34-03.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-35-03.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-26-58.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-34-20.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-34-46.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-35-28.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-20-30.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-25-03.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-34-40.bmp,1,1,1,3,
val,normal,normal__Image__2026-04-20__16-28-49.bmp,1,1,1,3,
val,abn_no_cap,abn_no_cap__Image__2026-04-20__17-04-17.bmp,0,1,1,2,
val,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-31.bmp,0,1,1,2,
val,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-39.bmp,1,1,1,3,
val,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-21.bmp,1,1,1,3,
val,abn_no_label,abn_no_label__Image__2026-04-20__16-55-50.bmp,1,0,1,2,
val,abn_no_label,abn_no_label__Image__2026-04-20__16-55-40.bmp,1,0,1,2,
val,abn_label_angle,abn_label_angle__Image__2026-04-20__16-56-55.bmp,1,1,1,3,
val,abn_label_angle,abn_label_angle__Image__2026-04-20__16-57-39.bmp,1,1,1,3,
val,abn_underfill,abn_underfill__Image__2026-04-20__17-06-30.bmp,1,1,1,3,
val,abn_underfill,abn_underfill__Image__2026-04-20__17-08-49.bmp,1,1,1,3,
